"","Year","Total","Gas","Liquids","Solids","CementProduction","GasFlaring","PerCapita"
"109",1859,0.0641025641025641,NA,NA,0.0641025641025641,NA,NA,NA
"110",1860,0.0963855421686747,NA,NA,0.0963855421686747,NA,NA,NA
"111",1861,0.043956043956044,NA,NA,0.043956043956044,NA,NA,NA
"112",1862,0.0210526315789474,NA,NA,0.0105263157894737,NA,NA,NA
"113",1863,0.0721649484536082,NA,NA,0.0729166666666667,NA,NA,NA
"114",1864,0.0769230769230769,NA,NA,0.087378640776699,NA,NA,NA
"115",1865,0.0625,NA,NA,0.0625,NA,NA,NA
"116",1866,0.0252100840336134,NA,NA,0.0252100840336134,NA,NA,NA
"117",1867,0.0655737704918033,NA,NA,0.0655737704918033,NA,NA,NA
"118",1868,0.0384615384615385,NA,NA,0.0307692307692308,NA,NA,NA
"119",1869,0.0518518518518519,NA,NA,0.0597014925373134,NA,NA,NA
"120",1870,0.0352112676056338,NA,Inf,0.028169014084507,NA,NA,NA
"121",1871,0.0612244897959184,NA,0,0.0684931506849315,NA,NA,NA
"122",1872,0.108974358974359,NA,0,0.108974358974359,NA,NA,NA
"123",1873,0.0635838150289017,NA,0,0.0578034682080925,NA,NA,NA
"124",1874,-0.0543478260869565,NA,0,-0.0546448087431694,NA,NA,NA
"125",1875,0.0804597701149425,NA,0,0.0809248554913295,NA,NA,NA
"126",1876,0.0159574468085106,NA,0,0.0160427807486631,NA,NA,NA
"127",1877,0.0157068062827225,NA,1,0.0105263157894737,NA,NA,NA
"128",1878,0.0103092783505155,NA,0,0.0104166666666667,NA,NA,NA
"129",1879,0.0714285714285714,NA,0.5,0.0670103092783505,NA,NA,NA
"130",1880,0.123809523809524,NA,0,0.1256038647343,NA,NA,NA
"131",1881,0.0296610169491525,NA,0.333333333333333,0.0257510729613734,NA,NA,NA
"132",1882,0.0534979423868313,NA,0,0.0543933054393305,NA,NA,NA
"133",1883,0.0625,NA,-0.25,0.0674603174603175,NA,NA,NA
"134",1884,0.0110294117647059,NA,0.333333333333333,0.00743494423791822,NA,NA,NA
"135",1885,0.00727272727272727,Inf,0,0.00738007380073801,NA,NA,NA
"136",1886,0.0144404332129964,1,0.25,0.00732600732600733,NA,NA,NA
"137",1887,0.0498220640569395,0.5,0,0.0436363636363636,NA,NA,NA
"138",1888,0.108474576271186,0.666666666666667,0,0.104529616724739,NA,NA,NA
"139",1889,0,-0.4,0.2,0.00315457413249211,NA,NA,NA
"140",1890,0.0886850152905199,0,0.333333333333333,0.0849056603773585,NA,NA,NA
"141",1891,0.0449438202247191,-0.333333333333333,0.125,0.0434782608695652,NA,NA,NA
"142",1892,0.00537634408602151,0,0,0.00833333333333333,NA,NA,NA
"143",1893,-0.0106951871657754,0,0.111111111111111,-0.0137741046831956,NA,NA,NA
"144",1894,0.0351351351351351,0,-0.1,0.0391061452513966,NA,NA,NA
"145",1895,0.0600522193211488,0,0.222222222222222,0.0564516129032258,NA,NA,NA
"146",1896,0.0320197044334975,0,0.0909090909090909,0.0305343511450382,NA,NA,NA
"147",1897,0.0501193317422434,0,0.0833333333333333,0.0493827160493827,NA,NA,NA
"148",1898,0.0568181818181818,0,0,0.0564705882352941,NA,NA,NA
"149",1899,0.0903225806451613,0.5,0.0769230769230769,0.0935412026726058,NA,NA,NA
"150",1900,0.0532544378698225,0,0.142857142857143,0.0488798370672098,NA,NA,NA
"151",1901,0.0337078651685393,0.333333333333333,0.125,0.0310679611650485,NA,NA,NA
"152",1902,0.0253623188405797,0,0.0555555555555556,0.0225988700564972,NA,NA,NA
"153",1903,0.0901060070671378,0,0.0526315789473684,0.0920810313075506,NA,NA,NA
"154",1904,0.0113452188006483,0,0.15,0.00674536256323777,NA,NA,NA
"155",1905,0.0625,0.25,0,0.0653266331658292,NA,NA,NA
"156",1906,0.0663650075414781,0,0,0.0691823899371069,NA,NA,NA
"157",1907,0.108910891089109,0,0.217391304347826,0.102941176470588,NA,NA,NA
"158",1908,-0.0433673469387755,0,0.0714285714285714,-0.048,NA,NA,NA
"159",1909,0.0466666666666667,0.2,0.0666666666666667,0.046218487394958,NA,NA,NA
"160",1910,0.043312101910828,0.166666666666667,0.0625,0.0414993306559572,NA,NA,NA
"161",1911,0.0207570207570208,0,0.0588235294117647,0.0179948586118252,NA,NA,NA
"162",1912,0.0514354066985646,0.142857142857143,0.0277777777777778,0.053030303030303,NA,NA,NA
"163",1913,0.0728100113765643,0,0.108108108108108,0.0731414868105516,NA,NA,NA
"164",1914,-0.0986214209968187,0,0.024390243902439,-0.106145251396648,NA,NA,NA
"165",1915,-0.0141176470588235,0.125,0.0714285714285714,-0.02,NA,NA,NA
"166",1916,0.0751789976133652,0.111111111111111,0.0666666666666667,0.0739795918367347,NA,NA,NA
"167",1917,0.0599334073251942,0.1,0.125,0.0581947743467933,NA,NA,NA
"168",1918,-0.0198952879581152,-0.0909090909090909,-0.0185185185185185,-0.0202020202020202,NA,NA,NA
"169",1919,-0.138888888888889,0,0.150943396226415,-0.15807560137457,NA,NA,NA
"170",1920,0.156327543424318,0.1,0.278688524590164,0.146938775510204,NA,NA,NA
"171",1921,-0.138412017167382,-0.0909090909090909,0.0769230769230769,-0.158956109134045,NA,NA,NA
"172",1922,0.0523038605230386,0.1,0.119047619047619,0.0437235543018336,NA,NA,NA
"173",1923,0.14792899408284,0.272727272727273,0.180851063829787,0.141891891891892,NA,NA,NA
"174",1924,-0.00721649484536083,0.142857142857143,-0.00900900900900901,-0.0106508875739645,NA,NA,NA
"175",1925,0.0124610591900312,0.0625,0.0545454545454545,0.00717703349282297,NA,NA,NA
"176",1926,0.00820512820512821,0.117647058823529,0.0258620689655172,0.00475059382422803,NA,NA,NA
"177",1927,0.0803662258392675,0.105263157894737,0.142857142857143,0.0697399527186761,NA,NA,NA
"178",1928,0.00282485875706215,0.0952380952380952,0.0514705882352941,-0.0165745856353591,Inf,NA,NA
"179",1929,0.0751173708920188,0.217391304347826,0.118881118881119,0.0640449438202247,0,NA,NA
"180",1930,-0.0803493449781659,0,-0.05,-0.0897571277719113,0,NA,NA
"181",1931,-0.107312440645774,-0.107142857142857,-0.0328947368421053,-0.119489559164733,-0.2,NA,NA
